GeneID	Expression
CCNA_00821	True
CCNA_00580	True
CCNA_00579	True
CCNA_03110	True
CCNA_03588	True
CCNA_01112	True
CCNA_02174	True
CCNA_03591	True
CCNA_01111	True
CCNA_03072	True
CCNA_00822	True
CCNA_03683	True
CCNA_00892	True
CCNA_02037	True
CCNA_03590	True
CCNA_03115	True
CCNA_01538	True
CCNA_00719	True
CCNA_01379	True
CCNA_02420	True
CCNA_00362	True
CCNA_00823	True
CCNA_03358	True
CCNA_00720	True
CCNA_01421	True
CCNA_02172	True
CCNA_00518	True
CCNA_00708	True
CCNA_03401	True
CCNA_01189	False
CCNA_03359	True
CCNA_R0108	True
CCNA_00554	True
CCNA_00011	True
CCNA_00086	True
CCNA_03360	True
CCNA_01414	True
CCNA_R0159	True
CCNA_03383	True
CCNA_03911	True
CCNA_R0180	True
CCNA_R0195	True
CCNA_00330	True
CCNA_02528	True
CCNA_01848	True
CCNA_01869	False
CCNA_01556	True
CCNA_00261	False
CCNA_02183	False
CCNA_03886	False
CCNA_00621	False
CCNA_00845	False
CCNA_00893	False
CCNA_00998	False
CCNA_02737	False
CCNA_01555	False
CCNA_03758	False
CCNA_02173	False
CCNA_03689	False
CCNA_00669	False
CCNA_00123	False
CCNA_03271	False
CCNA_01125	False
CCNA_03741	False
CCNA_03270	False
CCNA_00968	False
CCNA_01338	False
CCNA_01626	False
CCNA_02934	False
CCNA_00810	False
CCNA_00227	False
CCNA_01000	False
CCNA_03860	False
CCNA_01989	False
CCNA_03867	False
CCNA_01799	False
CCNA_02941	False
CCNA_01256	False
CCNA_01429	False
CCNA_02545	False
CCNA_03478	False
CCNA_00610	False
CCNA_03843	False
CCNA_01826	False
CCNA_02123	False
CCNA_01467	False
CCNA_00256	False
CCNA_01476	False
CCNA_02411	False
CCNA_02431	False
CCNA_03522	False
CCNA_03624	False
CCNA_R0123	False
CCNA_00540	False
CCNA_02969	False
CCNA_00831	False
CCNA_01477	False
CCNA_03845	False
CCNA_02446	False
CCNA_03209	False
CCNA_00054	False
CCNA_02644	False
CCNA_02051	False
CCNA_02095	False
CCNA_03038	False
CCNA_03718	False
CCNA_02360	False
CCNA_02825	False
CCNA_01116	False
CCNA_02294	False
CCNA_00402	False
CCNA_R0119	False
CCNA_00164	False
CCNA_00222	False
CCNA_03286	False
CCNA_00914	False
CCNA_03577	False
CCNA_01655	False
CCNA_01858	False
CCNA_01943	False
CCNA_02660	False
CCNA_02776	False
CCNA_02910	False
CCNA_02189	False
CCNA_02302	False
CCNA_00311	False
CCNA_02171	False
CCNA_02951	False
CCNA_00437	False
CCNA_01268	False
CCNA_03202	False
CCNA_01424	False
CCNA_00105	False
CCNA_02219	False
CCNA_03701	False
CCNA_03074	False
CCNA_03499	False
CCNA_02875	False
CCNA_02690	False
CCNA_00030	False
CCNA_00612	False
CCNA_01061	False
CCNA_01622	False
CCNA_01632	False
CCNA_03030	False
CCNA_03989	False
CCNA_01409	False
CCNA_02848	False
CCNA_R0144	False
CCNA_00798	False
CCNA_03073	False
CCNA_01816	False
CCNA_03496	False
CCNA_02291	False
CCNA_00085	False
CCNA_03869	False
CCNA_01500	False
CCNA_02247	False
CCNA_02345	False
CCNA_03056	False
CCNA_00392	False
CCNA_01011	False
CCNA_00398	False
CCNA_01547	False
CCNA_01926	False
CCNA_02822	False
CCNA_00638	False
CCNA_00820	False
CCNA_00991	False
CCNA_00404	False
CCNA_01418	False
CCNA_01039	False
CCNA_01303	False
CCNA_01850	False
CCNA_02234	False
CCNA_03981	False
CCNA_02991	False
CCNA_01800	False
CCNA_02710	False
CCNA_03376	False
CCNA_01388	False
CCNA_00486	False
CCNA_01292	False
CCNA_R0165	False
CCNA_01423	False
CCNA_03369	False
CCNA_01366	False
CCNA_01673	False
CCNA_02418	False
CCNA_03290	False
CCNA_00594	False
CCNA_00925	False
CCNA_02668	False
CCNA_01060	False
CCNA_03169	False
CCNA_00434	False
CCNA_01128	False
CCNA_01206	False
CCNA_01612	False
CCNA_02663	False
CCNA_03280	False
CCNA_03849	False
CCNA_02516	False
CCNA_02846	False
CCNA_03424	False
CCNA_00805	False
CCNA_00943	False
CCNA_01295	False
CCNA_01430	False
CCNA_01598	False
CCNA_R0186	False
CCNA_00629	False
CCNA_01703	False
CCNA_02623	False
CCNA_00022	False
CCNA_01920	False
CCNA_03311	False
CCNA_02048	False
CCNA_02469	False
CCNA_00113	False
